dataset,model,mitigation,seed,accuracy,cfs,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,intersectional_pr_range,intersectional_tpr_range,intersectional_fpr_range,n_intersectional_cells,min_cell_n,runtime_seconds,status,analysis_id,cross_label,intersectional,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells
adult,logistic_regression,baseline,62,0.8409335175802242,[0.24449316],0.1713985218220899,0.0593232398444609,0.0914328042800027,0.1255681818181817,0.1713985218220899,0.1255681818181817,0.208748479974895,0.2006329744816587,0.0842269840406097,4,424,0.1732769999999988,success,adult_sex_race,sex x race,True,0.1713985218220899,0.0593232398444609,0.0914328042800027,0.1255681818181817,0.208748479974895,0.2006329744816587,0.0842269840406097,4
adult,logistic_regression,baseline,63,0.849531705819131,[0.27984877],0.1770886540086406,0.1225960605110284,0.0456490472393415,0.048477462585116,0.1770886540086406,0.1225960605110284,0.186810530327718,0.1799522829035527,0.0852503298681299,4,419,0.1628588999999998,success,adult_sex_race,sex x race,True,0.1770886540086406,0.1225960605110284,0.0456490472393415,0.048477462585116,0.186810530327718,0.1799522829035527,0.0852503298681299,4
adult,logistic_regression,baseline,64,0.8532166436358053,[0.22896355],0.1598742578116045,0.0453039777110237,0.0799815672950097,0.0950893257922613,0.1598742578116045,0.0950893257922613,0.2041134724905608,0.1245323936026022,0.0760418739800183,4,419,0.1784978000000006,success,adult_sex_race,sex x race,True,0.1598742578116045,0.0453039777110237,0.0799815672950097,0.0950893257922613,0.2041134724905608,0.1245323936026022,0.0760418739800183,4
adult,logistic_regression,baseline,65,0.8472286196837095,[0.23617425],0.1558314203785717,0.0720118021585527,0.0952466375478777,0.0860719610656314,0.1558314203785717,0.0860719610656314,0.2063053272161885,0.1385918003565062,0.0698380110945135,4,426,0.1941154000000011,success,adult_sex_race,sex x race,True,0.1558314203785717,0.0720118021585527,0.0952466375478777,0.0860719610656314,0.2063053272161885,0.1385918003565062,0.0698380110945135,4
adult,logistic_regression,baseline,66,0.8524489482573315,[0.2384555],0.1588869403919854,0.0601873780178509,0.0793362620285697,0.0109598451258352,0.1588869403919854,0.0601873780178509,0.2086897101742707,0.2069805194805195,0.0708976804813411,4,421,0.1626489000000006,success,adult_sex_race,sex x race,True,0.1588869403919854,0.0601873780178509,0.0793362620285697,0.0109598451258352,0.2086897101742707,0.2069805194805195,0.0708976804813411,4
adult,logistic_regression,baseline,67,0.8478427759864886,[0.23465888],0.1583627874164117,0.0624901806755695,0.080288505711923,0.0919605533615095,0.1583627874164117,0.0919605533615095,0.2079990132524268,0.2357095709570957,0.07141434518281,4,406,0.1590666999999985,success,adult_sex_race,sex x race,True,0.1583627874164117,0.0624901806755695,0.080288505711923,0.0919605533615095,0.2079990132524268,0.2357095709570957,0.07141434518281,4
adult,logistic_regression,baseline,68,0.8483033932135728,[0.23724682],0.1638440034131525,0.0494350282485875,0.0750317546724732,0.0389633577495971,0.1638440034131525,0.0494350282485875,0.2092364360922076,0.1218924705602474,0.0825308153027334,4,443,0.1660671000000011,success,adult_sex_race,sex x race,True,0.1638440034131525,0.0494350282485875,0.0750317546724732,0.0389633577495971,0.2092364360922076,0.1218924705602474,0.0825308153027334,4
adult,logistic_regression,baseline,69,0.8502994011976048,[0.23750586],0.1577741358082083,0.075115615222567,0.0841630677696251,0.0482537350737323,0.1577741358082083,0.075115615222567,0.1939187310281653,0.0805825242718446,0.0720963661990236,4,446,0.1761952000000004,success,adult_sex_race,sex x race,True,0.1577741358082083,0.075115615222567,0.0841630677696251,0.0482537350737323,0.1939187310281653,0.0805825242718446,0.0720963661990236,4
adult,logistic_regression,baseline,70,0.8461538461538461,[0.30823243],0.187524819715343,0.1807889777084552,0.0985308166560668,0.0748905085896213,0.187524819715343,0.1807889777084552,0.2247853088603862,0.2568737873266764,0.0876720773680763,4,448,0.1331174000000015,success,adult_sex_race,sex x race,True,0.187524819715343,0.1807889777084552,0.0985308166560668,0.0748905085896213,0.2247853088603862,0.2568737873266764,0.0876720773680763,4
adult,logistic_regression,baseline,71,0.8483033932135728,[0.24369114],0.164706454390783,0.0660455004270518,0.0868906560951078,0.0358682723758548,0.164706454390783,0.0660455004270518,0.2024493348253139,0.0882629107981221,0.089096463744351,4,420,0.1497399999999995,success,adult_sex_race,sex x race,True,0.164706454390783,0.0660455004270518,0.0868906560951078,0.0358682723758548,0.2024493348253139,0.0882629107981221,0.089096463744351,4
adult,xgboost,baseline,42,0.8622754491017964,[0.2510212],0.1781389952999228,0.0661654135338346,0.0881001026572543,0.0531083807078671,0.1781389952999228,0.0661654135338346,0.2116769547325102,0.1791142844627447,0.0786591082176145,4,414,1.5859481000000013,success,adult_sex_race,sex x race,True,0.1781389952999228,0.0661654135338346,0.0881001026572543,0.0531083807078671,0.2116769547325102,0.1791142844627447,0.0786591082176145,4
