dataset,model,mitigation,seed,accuracy,cfs,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,intersectional_pr_range,intersectional_tpr_range,intersectional_fpr_range,n_intersectional_cells,min_cell_n,runtime_seconds,status
adult,xgboost,baseline,55,0.8653462306156917,[0.22622964],0.16123765036583854,0.0451000101976895,0.09128862063049634,0.0797377787462773,0.16123765036583854,0.0797377787462773,0.1945958109324446,0.11568831836419968,0.07174129353233831,4,440,1.119479499999997,success
adult,xgboost,baseline,56,0.8635037617073545,[0.25038977],0.1745666931353025,0.07537237248318018,0.06150298295281503,0.02795123401724653,0.1745666931353025,0.07537237248318018,0.20931905769381462,0.10578995433789962,0.07431452367583755,4,438,1.0724298000000019,success
adult,xgboost,baseline,57,0.8705665591893137,[0.24957864],0.180297942630036,0.05238765467455042,0.0963074274722533,0.04769966875230036,0.180297942630036,0.05238765467455042,0.21431191019276352,0.10372881355932206,0.07061050197657939,4,435,1.166917600000005,success
adult,xgboost,baseline,58,0.8679563949025026,[0.25369677],0.17287921202650802,0.07851458885941642,0.059735457181277596,0.026666666666666727,0.17287921202650802,0.07851458885941642,0.19404899415521787,0.09273918642527079,0.059663819471369436,4,417,1.045969999999997,success
adult,xgboost,baseline,59,0.8595117457392907,[0.26310592],0.1755734249520477,0.0913677789087195,0.07692571075748644,0.040735351855701096,0.1755734249520477,0.0913677789087195,0.22030161421305333,0.20602420602420607,0.07396772049907684,4,444,0.931516699999996,success
adult,xgboost,baseline,60,0.8687240902809765,[0.23905127],0.17573390639179162,0.03699340962864428,0.07696590994986016,0.03531853042758937,0.17573390639179162,0.03699340962864428,0.2141907671135762,0.1062106735026801,0.07398006371390402,4,398,0.8454953999999972,success
adult,xgboost,baseline,61,0.8697988638108398,[0.23878962],0.17601277106633378,0.04128959276018107,0.07434834725398173,0.003608224365951429,0.17601277106633378,0.04128959276018107,0.19864159617044558,0.12121212121212122,0.060418928683596176,4,423,0.8610443000000032,success
adult,xgboost,baseline,62,0.8639643789344388,[0.26173034],0.18152635215475016,0.08852486142136173,0.08857862321041732,0.13934659090909096,0.18152635215475016,0.13934659090909096,0.21340662142548938,0.17304625199362045,0.07034511306835407,4,424,0.8730924000000044,success
adult,xgboost,baseline,63,0.8707200982650084,[0.27616888],0.17614870789293285,0.12656541672266775,0.05289610176691087,0.04205428928814192,0.17614870789293285,0.12656541672266775,0.1928804064248888,0.18139033238552804,0.07009819197141948,4,419,0.8534669999999949,success
adult,xgboost,baseline,64,0.8699524028865346,[0.25043896],0.17161713649643778,0.08251882371803598,0.08104337940283185,0.09126492503815431,0.17161713649643778,0.09126492503815431,0.21628846712378935,0.17663323393873676,0.06896668391513752,4,419,0.8439962000000065,success
adult,xgboost,baseline,65,0.8645785352372178,[0.24881504],0.16811040003297756,0.08746331236897276,0.09324418747359996,0.039030016597743855,0.16811040003297756,0.08746331236897276,0.2161277695518875,0.1007872846108141,0.06548990759576337,4,426,0.8970427000000001,success
adult,xgboost,baseline,66,0.8679563949025026,[0.23965337],0.17213353303945972,0.04799336215555261,0.07478632478632477,0.05427881512937405,0.17213353303945972,0.05427881512937405,0.21715633503044432,0.2142857142857143,0.06686060731622397,4,421,0.8563675999999987,success
adult,xgboost,baseline,67,0.8659603869184708,[0.23836055],0.16987889622242064,0.054818015187221736,0.08260934665945233,0.06582600060047583,0.16987889622242064,0.06582600060047583,0.22013117639130136,0.2068646864686468,0.07102882800806924,4,406,0.9220632999999978,success
adult,xgboost,baseline,68,0.8665745432212498,[0.25599677],0.1787852833794643,0.07184302947014809,0.0776628561059699,0.013882007400761509,0.1787852833794643,0.07184302947014809,0.2178727365779921,0.07382469736757835,0.07878897365702718,4,443,0.8573888999999966,success
adult,xgboost,baseline,69,0.8710271764163979,[0.23853674],0.16694194197921214,0.06857758996796426,0.08553365110742159,0.005330354455819197,0.16694194197921214,0.06857758996796426,0.20314088288696702,0.08084206478900324,0.06817227184901012,4,446,0.8736959000000013,success
adult,xgboost,baseline,70,0.8668816213726394,[0.28862639],0.18421936120047808,0.15110807824787165,0.10408736800935599,0.07344139718042786,0.18421936120047808,0.15110807824787165,0.22496498599439774,0.2749278311485496,0.06968502709020222,4,448,0.8669626000000008,success
adult,xgboost,baseline,71,0.8688776293566712,[0.23978922],0.17042810609585854,0.049258482801459724,0.08824321373578571,0.02022004162949753,0.17042810609585854,0.049258482801459724,0.20659579758796467,0.08920187793427226,0.0794793710286668,4,420,0.8472943000000015,success
