dataset,protected_attribute,model,constraint,mitigation,seed,accuracy,abs_spd,abs_eod,cfs,runtime_seconds,status,error
adult,sex,xgboost,EO,ExponentiatedGradient_EO,56,0.8595117457392907,0.12252976971000223,0.017662324883460645,[0.14903359],51.34828870000001,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,57,0.8670351604483341,0.13283441777542945,0.04258767074009784,[0.14722038],46.03812359999938,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,58,0.8661139259941655,0.13219084163341113,0.015510925855753421,[0.13186742],46.250192499999685,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,59,0.855366190695532,0.12100836793626035,0.01779721653951971,[0.14221307],46.154762299999675,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,60,0.8644249961615231,0.12552262820048882,0.06723058852997821,[0.16058567],50.42940659999931,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,61,0.8651926915399969,0.12155185073542482,0.06148190045248869,[0.16035812],46.779301999999916,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,62,0.8601259020420697,0.12466203315236063,0.014044841565318156,[0.14364119],51.40876380000009,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,63,0.8659603869184708,0.12409010473958582,0.014655854725744155,[0.14644044],50.5446409999995,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,64,0.8644249961615231,0.11565434844073573,0.00023595821724498034,[0.14688638],36.630211800000325,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,65,0.8621219100261016,0.11488678141818866,0.034642441183321604,[0.15678796],45.06635300000016,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,66,0.8613542146476278,0.1231124306403211,0.029426881254471904,[0.14662438],40.438922499999535,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,67,0.8607400583448488,0.11773755034103192,0.028214192196910237,[0.15382321],45.82901630000015,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,68,0.8639643789344388,0.12837308809326328,0.010637756400468268,[0.14066804],45.50230139999985,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,69,0.8639643789344388,0.10618549265415966,0.07075277663512958,[0.17336741],40.45147030000044,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,70,0.8607400583448488,0.1349418747046414,0.06883083122116074,[0.16231053],49.47643919999973,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,71,0.8671886995240289,0.11440744293489735,0.07503998757667518,[0.17135464],41.55069989999993,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,42,0.8991260014566642,0.019158114241321505,0.019112627986348135,[0.09073537],35.99431810000078,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,43,0.9011896091284293,0.026635504538390687,0.025975609756097556,[0.01860484],31.361421700000392,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,44,0.8970623937848993,0.024033330938059632,0.03220124344014966,[0.06309327],31.1298455999995,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,45,0.898154891964069,0.03440381397580211,0.0528063573928374,[0.13120415],31.16181669999969,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,46,0.8992473901432386,0.030282495226052298,0.0069691505433988055,[0.04370104],30.300475899999583,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,47,0.8948773974265598,0.023136798630746577,0.0035576138725889883,[0.03325831],30.467961899999864,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,48,0.8970623937848993,0.023474686031559586,0.0056426332288401215,[0.04015804],31.54637729999922,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,49,0.8994901675163874,0.018559030566695386,0.049847045396509415,[0.09100851],30.412655099999938,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,50,0.899368778829813,0.026124016377519068,0.009161500539534073,[0.04241987],30.761324199999763,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,51,0.8948773974265598,0.014960814952707482,0.028881581347355467,[0.14203534],30.345660200000566,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,52,0.8973051711580481,0.021241031736490012,0.003025816004635279,[0.07509766],30.13261799999964,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,53,0.8956057295460063,0.025723895548616003,0.004408587250509355,[0.01877366],34.51840119999997,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,54,0.8956057295460063,0.01796608452707656,0.003487198791243845,[0.06368155],35.21660419999989,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,55,0.8980335032774945,0.03599125374193851,0.011347631670549169,[0.08070293],30.134103100000175,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,56,0.8974265598446225,0.031036859397928086,0.02381360554819606,[0.04301965],34.221335199999885,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,57,0.9033746054867686,0.02545170970311756,0.025856813780230553,[0.05372519],34.06715120000081,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,58,0.8998543335761107,0.031173434754315357,0.028843736908253037,[0.0620213],29.54073210000024,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,59,0.898761835396941,0.01921584120837638,0.03439463762044406,[0.09420215],33.91378840000016,success,
