analysis,dataset,protected_attribute,model,mitigation,config_id,config_label,seed,accuracy,f1,abs_spd,abs_eod,cfs,runtime_seconds,status,error,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,rank_accuracy_desc,rank_cfs_asc,delta_accuracy_vs_default,delta_cfs_vs_default
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",55,0.8653462306156917,0.6828209764918626,0.15121639277317006,0.042655478344478026,0.14988959787205763,0.9569899000000035,success,,300,3,0.05,0.9,0.9,3.0,2.0,0.0,-0.003183452655454777
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",56,0.8550591125441425,0.6559766763848396,0.1661110254555654,0.1118531911491581,0.16484920587096025,1.0703403999999992,success,,300,3,0.05,0.9,0.9,4.0,4.0,-0.008444649163212081,0.0036197872023421562
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",57,0.8659603869184708,0.6821987622861303,0.16609655097878556,0.04429550828248818,0.1385113096893141,0.8948087999999998,success,,300,3,0.05,0.9,0.9,4.0,2.0,-0.004606172270842923,-0.0070086615841236655
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",58,0.8653462306156917,0.6774549466715704,0.16698177407491688,0.10885436402677778,0.15720803242545617,1.018639400000005,success,,300,3,0.05,0.9,0.9,4.0,3.0,-0.0026101642868109343,0.0025821572377015267
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",59,0.8545984953170582,0.6511970534069982,0.16503899416141476,0.07160541105254847,0.14745136311022966,1.0366447000000036,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.004913250422232451,-0.010805360008562914
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",60,0.8630431444802702,0.6777456647398844,0.17280134282739767,0.07435238685175216,0.14950599067195586,0.9269194000000027,success,,300,3,0.05,0.9,0.9,4.0,4.0,-0.005680945800706327,0.006939981598837713
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",61,0.8667280822969445,0.6848220769789398,0.16725955382423488,0.06702488687782815,0.14658655487047584,0.9641764999999936,success,,300,3,0.05,0.9,0.9,4.0,4.0,-0.003070781513895282,0.001985758104222163
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",62,0.8584369722094273,0.6695340501792114,0.1710109056170505,0.06758335401671212,0.15108678224589683,1.162733099999997,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.005527406725011508,-0.01076356583177876
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",63,0.8662674650698603,0.6824644549763034,0.16905287994005774,0.11810701432134163,0.16569982196699087,0.942573699999997,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.0044526331951481035,-0.0070341478616751385
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",64,0.8648856133886074,0.6797671033478894,0.15758369439795816,0.0688332471178309,0.1535661618772551,0.9919288999999978,success,,300,3,0.05,0.9,0.9,4.0,2.0,-0.005066789497927271,-0.009234734011839468
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",65,0.8601259020420697,0.673827425707125,0.16355441164725373,0.0868359344669617,0.16163850958496032,0.9440725000000043,success,,300,3,0.05,0.9,0.9,4.0,2.0,-0.0044526331951481035,-0.004290651123802558
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",66,0.8639643789344388,0.6782861292665214,0.16560090400780347,0.06131943954556296,0.1464743494693279,0.868538700000002,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.003992015968063867,-0.0005610437015250991
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",67,0.8633502226316597,0.6761280931586607,0.1537088153460798,0.05175438596491222,0.14750842065777642,0.9628562000000045,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.0026101642868110453,-0.005720506967882039
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",68,0.8624289881774911,0.6751269035532995,0.17363273574748808,0.09040820481498457,0.15495769863484204,0.9513014000000055,success,,300,3,0.05,0.9,0.9,4.0,2.0,-0.004145555043758686,0.00016931979463036262
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",69,0.8650391524643022,0.6807119505993461,0.15507166484083568,0.07629358164117517,0.1572189828245682,0.909477300000006,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.0059880239520957446,-0.0027168506021967853
optional_tuning_sensitivity,adult,sex,xgboost,baseline,shallower,"shallower (d=3, lr=0.05, n=300)",70,0.8607400583448488,0.6717336228736881,0.18024628831348716,0.16876584129459932,0.1805478485673611,0.9741570000000053,success,,300,3,0.05,0.9,0.9,4.0,1.0,-0.006141563027790564,-0.0012557783782053966
