dataset,model,mitigation,protected_attribute,n_seeds,positive_rate_proxy,mean_accuracy,sd_accuracy,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_abs_di_violation,sd_abs_di_violation,mean_cfs_original,sd_cfs_original,mean_cfs_no_di,sd_cfs_no_di,mean_cfs_di_clipped,sd_cfs_di_clipped,mean_cfs_four_fifths,sd_cfs_four_fifths
acs_income_ca_2018,mlp,reweighing,age_group,30,,0.7860766666666666,0.0048026345739161464,0.1923391028982298,0.0078467964875866,0.08415941478283973,0.019574475978671717,0.08441530662366478,0.008826797697881287,0.40805784888821506,0.01958445354452935,0.1922429182982373,0.012202704891331809,0.12030460810157804,0.010967105039139356,0.1922429182982373,0.012202704891331809,0.14224291829823735,0.012202704891331807
acs_income_ca_2018,mlp,reweighing,sex,30,,0.7863533333333331,0.0043896220348904075,0.03787608981710055,0.012656706660520255,0.03361738522696031,0.010954386061875862,0.030577413035280117,0.008821026090236977,0.08910909739285428,0.02918596616804634,0.04779499636804882,0.0075051362621509,0.03402362935978032,0.004143334076333813,0.04779499636804882,0.0075051362621509,0.025517722019835244,0.0031075005572503596
acs_income_ca_2018,random_forest,baseline,age_group,30,,0.7837299999999998,0.0038075378957518227,0.19633473180264707,0.008217758598795947,0.08628048653412705,0.01345603053095321,0.08858678874553977,0.008609754144506394,0.409779508577952,0.013520698427511855,0.19524537891506652,0.01004523123265455,0.12373400236077133,0.009265453481721987,0.19524537891506652,0.01004523123265455,0.1452453789150665,0.010045231232654552
acs_income_ca_2018,random_forest,baseline,sex,30,,0.7837299999999998,0.0038075378957518227,0.0730788900137007,0.009197784650764195,0.010064371252593823,0.006254608389311297,0.00802036537924558,0.004328208906508528,0.16735491605332803,0.01879477613568465,0.06462963567471705,0.007996962304990026,0.03038787554851337,0.004858404064223912,0.06462963567471705,0.007996962304990026,0.022790906661385023,0.0036438030481679338
acs_income_ca_2018,random_forest,equalized_odds,age_group,30,,0.7539933333333335,0.005323593117262141,0.10104883898802666,0.013225776219554324,0.017237589417245524,0.012365433329042526,0.010846377683655187,0.008474151699360914,0.2268990255653208,0.026113947488377465,0.08900795791356204,0.011736090043620213,0.043044268696309125,0.008542998518414018,0.08900795791356204,0.011736090043620213,0.039624717601247424,0.011098029931785318
acs_income_ca_2018,random_forest,equalized_odds,sex,30,,0.7787733333333334,0.0052984664881866326,0.06384704916481353,0.013312627125704931,0.013221554029177103,0.009652687261704358,0.008293192218400147,0.005589972166415208,0.14740288262235907,0.028913388516311103,0.05819116950868746,0.010905804416805727,0.02845393180413026,0.006156225846045556,0.05819116950868746,0.010905804416805727,0.021340448853097695,0.004617169384534167
acs_income_ca_2018,random_forest,reweighing,age_group,30,,0.7837399999999999,0.004058418241222761,0.1938510286552565,0.008405224991730348,0.08381301448721033,0.013226083292214568,0.08603272852243785,0.008763747484275249,0.40553849090597993,0.013868760972819996,0.19230881564272118,0.010237467843846564,0.12123225722163489,0.009350611932273167,0.19230881564272118,0.010237467843846564,0.1423088156427212,0.010237467843846564
acs_income_ca_2018,random_forest,reweighing,sex,30,,0.7832033333333333,0.003851330565718407,0.06911033503537416,0.009866623707307069,0.00902041001773522,0.007313167409324094,0.005830386002052177,0.00427795210338552,0.15890525138864395,0.020611526041667605,0.06071659561095136,0.007697572735752751,0.027987043685053857,0.004370991525786216,0.06071659561095136,0.007697572735752751,0.020990282763790395,0.003278243644339662
acs_income_ca_2018,xgboost,baseline,age_group,30,,0.81414,0.004056123510327868,0.20937613199244023,0.007343978133347572,0.10340403160633009,0.013728136494733773,0.0923468306082182,0.007976622223237584,0.4276322924103218,0.012738447453669666,0.20818982165432756,0.009407156877245785,0.13504233140232952,0.008762766179565703,0.20818982165432756,0.009407156877245785,0.15818982165432763,0.009407156877245785
acs_income_ca_2018,xgboost,baseline,sex,30,,0.81414,0.004056123510327868,0.07911616485572609,0.01040018529201133,0.00857551595358369,0.0056872418742278585,0.0064611080626360735,0.004502760048996862,0.17779005206515885,0.020916498284570293,0.06798571023427619,0.00862934757807075,0.031384262957315286,0.005001564043729404,0.06798571023427619,0.00862934757807075,0.023895787865290816,0.004454129749796715
