analysis,dataset,evaluation_cells,model,condition_id,mitigation,eo_protected_attribute,eo_protected_column,seed,accuracy,f1,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,marginal_abs_spd,marginal_abs_eod,subgroup_pr_gap,subgroup_tpr_gap,subgroup_fpr_gap,n_cells,min_cell_n,cfs_sex,runtime_seconds,status,error
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,43,0.8728696453247351,0.7074204946996465,0.1535065922839178,0.02777777777777779,0.051362761115536226,0.06698990339216959,0.1535065922839178,0.06698990339216959,0.18892830494940635,0.16088105726872248,0.06373261073223802,4,395,0.21300020240371134,2.0882085999999944,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,44,0.8693382465837556,0.704,0.18149975137387367,0.1197238304825411,0.09445230451107361,0.03923611111111114,0.18149975137387367,0.1197238304825411,0.23964108055356007,0.23673135375263038,0.07850119791711038,4,418,0.27291029974566144,1.5789098999999993,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,45,0.8633502226316597,0.6954140999315537,0.19042150377991449,0.11077140698590282,0.09929920506843586,0.12250937468328771,0.19042150377991449,0.12250937468328771,0.23806288282575103,0.2847273300409793,0.08387174036705487,4,412,0.274816698028259,1.5346751000000012,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,46,0.8696453247351451,0.6994690265486725,0.1770208152920726,0.10548594595457372,0.10200494354354243,0.08211805555555551,0.1770208152920726,0.10548594595457372,0.21477270764855888,0.1180547188072093,0.06175399140223261,4,455,0.26654292654965855,1.431543099999999,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,47,0.8671886995240289,0.6961714085001757,0.18372032607243086,0.10659323224768247,0.09806621580738449,0.05223910080398242,0.18372032607243086,0.10659323224768247,0.2263952548524011,0.15142857142857147,0.08226230641010959,4,421,0.273380037752044,1.5068575999999894,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,48,0.8719484108705665,0.7126119917298416,0.18593140784993845,0.1292954622172927,0.08115633000759101,0.036537102848916536,0.18593140784993845,0.1292954622172927,0.224713169886997,0.2305562547193556,0.06555537529742592,4,397,0.27713707842048385,1.9330479000000054,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,49,0.8608935974205435,0.675268817204301,0.15270753289265848,0.044493586908447624,0.09930139466102345,0.13593179602294636,0.15270753289265848,0.13593179602294636,0.21754385964912282,0.3156351791530945,0.06169991549181085,4,399,0.22235584690033638,1.6834716999999983,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,50,0.8694917856594503,0.7015449438202247,0.17696146003030336,0.1089965826358279,0.06299621284413964,0.02248384781048096,0.17696146003030336,0.1089965826358279,0.2051844472674874,0.21666666666666662,0.06548281537798331,4,435,0.2651933838236768,1.4706260999999898,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,51,0.8751727314601566,0.7146367146367146,0.18165319559360404,0.0824912064280594,0.09028311358008166,0.005354850540986611,0.18165319559360404,0.0824912064280594,0.22436623918878612,0.08813891463791446,0.0721623009758603,4,420,0.26038011044538983,1.4314205999999956,success,
optional_subgroup_mitigation_sensitivity,adult,sex_binary x race_binary,xgboost,baseline,baseline,,,52,0.8682634730538922,0.7033195020746887,0.1833961850250201,0.10959753646122927,0.07847672985136411,0.056880520999326056,0.1833961850250201,0.10959753646122927,0.21176387978653682,0.1859981933152665,0.05909432077818741,4,440,0.26806515767083516,1.440416600000006,success,
