run_block,dataset,dataset_variant,model,mitigation,protected_attribute,seed,n_rows,accuracy,precision,recall,f1,spd,di,eod,aod,cfs,acfs_balanced,runtime_seconds,status,error_message
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,50,41188,0.9019179412478756,0.6570680628272252,0.2704741379310345,0.383206106870229,0.0652415167247545,2.9557627399988933,0.1095465797769925,0.0702840152631607,0.5502087129409503,0.5502087129409503,11.46893610000552,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,51,41188,0.9005826656955572,0.6552706552706553,0.2478448275862069,0.3596559812353401,0.0559966455344627,2.7982060043934585,0.1060103081501091,0.0642960202698641,0.5061272445869737,0.5061272445869737,11.446232900008908,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,52,41188,0.9013109978150036,0.6706231454005934,0.2435344827586207,0.3573122529644268,0.0523533706857618,2.698547650882936,0.0667181699178093,0.0462156073591522,0.4659586997114148,0.4659586997114148,11.135508999999727,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,53,41188,0.9019179412478756,0.6630434782608695,0.2629310344827586,0.3765432098765432,0.0650308362154841,3.039687554853432,0.1028704573331896,0.0649935126901497,0.5681455902730639,0.5681455902730639,12.05131419999816,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,54,41188,0.8986404467103666,0.6565656565656566,0.2101293103448276,0.3183673469387755,0.0478148268519719,2.8147523301158834,0.0731161545660345,0.0478225347472825,0.4958764615702931,0.4958764615702931,11.583408199992846,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,55,41188,0.9019179412478756,0.6538461538461539,0.2747844827586206,0.3869499241274658,0.0659144840087239,2.9199408293642404,0.1189653787452807,0.0748316147185386,0.5449130767091959,0.5449130767091959,11.403559700003823,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,56,41188,0.9011896091284292,0.654891304347826,0.2596982758620689,0.3719135802469135,0.0720370388299835,3.4077277621184807,0.1384295695992103,0.0863015805873773,0.676123987783763,0.676123987783763,10.94056780000392,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,57,41188,0.9050740470988105,0.7050561797752809,0.2704741379310345,0.3909657320872274,0.0578039346891699,2.8138381591326747,0.0815625219159829,0.0550393680469808,0.5020609959462021,0.5020609959462021,11.57499199999438,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,58,41188,0.9044671036659384,0.7104477611940299,0.2564655172413793,0.3768804433887569,0.0633047083494296,3.2570694933666915,0.1361122748219522,0.0796550066510548,0.634035370797282,0.634035370797282,11.215671500001918,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,59,41188,0.9002184996358339,0.6514285714285715,0.2456896551724137,0.3568075117370892,0.0612084363639536,3.03852056337005,0.1085043988269794,0.068701073286339,0.5692336179618305,0.5692336179618305,11.86368159999256,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,60,41188,0.8992473901432386,0.6346153846153846,0.2489224137931034,0.3575851393188854,0.0638989793093105,3.059246909564086,0.0802086644744042,0.0587224376158064,0.5655192477409019,0.5655192477409019,11.671145800006345,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,61,41188,0.8980335032774945,0.6170212765957447,0.25,0.3558282208588957,0.0594325879111301,2.75819184955034,0.043186895011169,0.0395219164767545,0.4750833122373484,0.4750833122373484,11.777045100010582,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,62,41188,0.9009468317552805,0.6686746987951807,0.2392241379310344,0.3523809523809524,0.0500407483257099,2.6596848194693794,0.0880877825434834,0.0541473409405884,0.4629901728197903,0.4629901728197903,11.708268299989868,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,63,41188,0.902282107307599,0.6880733944954128,0.2424568965517241,0.3585657370517929,0.0503853762918401,2.697164562646574,0.0659731196691651,0.0458622253119703,0.4648463209798874,0.4648463209798874,11.052602800002203,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,64,41188,0.9031318281136198,0.6641414141414141,0.2834051724137931,0.3972809667673715,0.0628166675278355,2.7780907571348976,0.0807402825033508,0.0550553929464711,0.4941757750281388,0.4941757750281388,11.363310499989892,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,65,41188,0.902889050740471,0.7091503267973857,0.2338362068965517,0.3517017828200972,0.0554487595223763,3.1416267942583733,0.0972136222910216,0.059322559382538,0.5884029338635773,0.5884029338635773,12.352353700000094,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,66,41188,0.9002184996358339,0.6497175141242938,0.2478448275862069,0.358814352574103,0.0645070796771105,3.153292162216643,0.1480016080231893,0.0870680309023509,0.6132172202048235,0.6132172202048235,13.62908929999685,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,67,41188,0.9026462733673222,0.6956521739130435,0.2413793103448276,0.3584,0.0535951906598914,2.889015516787937,0.0805860805860806,0.0517953987466469,0.518748046695139,0.518748046695139,12.744025599997258,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,68,41188,0.905559601845108,0.7094972067039106,0.2737068965517241,0.3950233281493002,0.0588814751327817,2.8417125547428115,0.1255147669156826,0.0726661741929644,0.5246937427460601,0.5246937427460601,13.201876899998751,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,69,41188,0.9039815489196408,0.7147335423197492,0.2456896551724137,0.3656776263031274,0.0505706017277256,2.7651548126868057,0.0708033536272881,0.044458160199324,0.4827467320602859,0.4827467320602859,12.788685499996063,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,70,41188,0.9038601602330664,0.6931818181818182,0.2629310344827586,0.38125,0.057793459668464,2.867326610667269,0.0763630346653429,0.0516470019429381,0.5132825267360035,0.5132825267360035,12.38151829999697,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,baseline,age_group,71,41188,0.9013109978150036,0.6558265582655827,0.2607758620689655,0.3731688511950655,0.0643006759853952,3.004543243337156,0.0782602859252298,0.0554818841934317,0.5506465223603031,0.5506465223603031,10.96845420000318,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,42,41188,0.9016751638747268,0.694078947368421,0.2273706896551724,0.3425324675324676,0.0458734625149148,2.647954278389061,0.0517750127650426,0.0378082748779689,0.4458527571367469,0.4458527571367469,11.443726400000742,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,43,41188,0.905559601845108,0.7435064935064936,0.2467672413793103,0.3705501618122977,0.0502343245973877,2.8569671516424178,0.06630081300813,0.0427002251235495,0.5040506285928713,0.5040506285928713,11.333112000007532,success,
