dataset,dataset_label,model,age_coding,privileged_count,unprivileged_count,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_cfs,sd_cfs,mean_accuracy
bank_uci,UCI Bank Marketing,logistic_regression,older_vs_rest,40278,910,0.21553160869188626,0.023205571977313606,0.1666769319515904,0.04115963417657301,0.14727053639151647,0.02119227883410662,[1.75585792],0.17823533187669705,0.900101157238812
bank_uci,UCI Bank Marketing,random_forest,middle_vs_rest,32895,8293,0.08086444889302478,0.0081464230473591,0.11446758858485243,0.03435190856677069,0.08033873103493559,0.017850883845034825,[0.43453756],0.055518280053415386,0.8855264222707778
bank_uci,UCI Bank Marketing,random_forest,young_vs_rest,33805,7383,0.037164378082299415,0.007498534934883592,0.03467584115571464,0.03124483806616738,0.027454667238327117,0.017353845098526766,[0.16833387],0.04162874009177061,0.8855264222707778
bank_uci,UCI Bank Marketing,random_forest,older_vs_rest,40278,910,0.348667103716189,0.03170409289079916,0.2394617112083931,0.05199330464131196,0.2584620720551339,0.03203073724276503,[1.57661062],0.16210793368774445,0.8855264222707778
bank_uci,UCI Bank Marketing,gradient_boosting,middle_vs_rest,32895,8293,0.059672608880211406,0.006299400609095884,0.09839317757281556,0.02897196473570188,0.06277347973046203,0.014745553202349045,[0.54325006],0.06145578664699473,0.9018410617463786
bank_uci,UCI Bank Marketing,gradient_boosting,young_vs_rest,33805,7383,0.02753400790543337,0.006369783817787279,0.03367598608127254,0.023962952576466856,0.02270425033568779,0.01360424380262635,[0.20485747],0.05580759254035089,0.9018410617463786
bank_uci,UCI Bank Marketing,gradient_boosting,older_vs_rest,40278,910,0.2565281820731417,0.025515788753711084,0.19876791692952586,0.04745523360184804,0.1797418477092896,0.027695880688073653,[1.89725893],0.17947478720301124,0.9018410617463786
bank_uci,UCI Bank Marketing,xgboost,middle_vs_rest,32895,8293,0.06920097542860898,0.008397399355866962,0.11348466101937492,0.03550092495824413,0.07382526797613734,0.018700540184513177,[0.56988413],0.08085704311723216,0.90050578619406
bank_uci,UCI Bank Marketing,xgboost,young_vs_rest,33805,7383,0.029837863280800302,0.007701028845057011,0.03811462247486584,0.02606086255693192,0.025464364303058852,0.015176329928688087,[0.19825992],0.057862434252628166,0.90050578619406
bank_uci,UCI Bank Marketing,xgboost,older_vs_rest,40278,910,0.3115942096404248,0.028847484875957802,0.23141100348097063,0.05476528414540398,0.2287168388344032,0.03192118628860463,[2.08185642],0.20474126006268895,0.90050578619406
bank_uci,UCI Bank Marketing,mlp,middle_vs_rest,32895,8293,0.06079606972993057,0.010596458074442533,0.1004760601724107,0.02742275968479831,0.06484232470321115,0.015104828087170574,[0.55964359],0.06583672292219979,0.8998543335761107
bank_uci,UCI Bank Marketing,mlp,young_vs_rest,33805,7383,0.0276702377353168,0.006439438098192836,0.026814310526084198,0.02222363526687579,0.020724676235284865,0.011738710427580325,[0.20599308],0.05073683741164352,0.8998543335761107
bank_uci,UCI Bank Marketing,mlp,older_vs_rest,40278,910,0.2641572685745188,0.05442381676661188,0.21396732711988947,0.050530637900526976,0.19158644716388373,0.04840790583210943,[1.95926085],0.23467275432597418,0.8998543335761107
